offer_id,invite_id,invite_created_at,invite_invitation_state,invite_state,invite_first_viewed_at,invite_material_id,invite_min_deal_quantity_kg,invite_max_deal_quantity_kg,selling_company_id,buying_org_id
95699,95606,2020-03-11 09:00:23.810502+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12298
95699,95609,2020-03-11 09:00:37.166877+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12903
95699,95612,2020-03-11 09:00:50.378777+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12334
95699,95615,2020-03-11 09:01:06.425874+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12703
95699,95618,2020-03-11 09:01:36.998361+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12332
95699,95626,2020-03-11 09:02:46.465873+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12917
95699,95629,2020-03-11 09:03:01.872722+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12296
95699,95632,2020-03-11 09:03:11.232703+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12907
95699,95635,2020-03-11 09:03:26.327036+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12284
95699,95638,2020-03-11 09:03:37.825990+00:00,INVALID,EXPIRED,2020-03-17 08:59:00.576000+00:00,546872,0.0,103200.0,12233,12292
95699,95641,2020-03-11 09:03:52.067467+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,19055
95699,95644,2020-03-11 09:04:04.256832+00:00,INVALID,EXPIRED,2020-03-20 09:30:09.324000+00:00,546872,0.0,103200.0,12233,12327
95699,95647,2020-03-11 09:04:37.302326+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12341
95699,95650,2020-03-11 09:04:59.812720+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12270
95699,95656,2020-03-11 09:05:07.865910+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12897
95699,95660,2020-03-11 09:05:52.936583+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,15265
95699,95663,2020-03-11 09:06:11.047487+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12297
95699,95666,2020-03-11 09:06:30.343463+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12301
95699,95671,2020-03-11 09:06:58.592136+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12913
95699,95674,2020-03-11 09:07:20.711727+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12267
95699,95679,2020-03-11 09:08:10.193099+00:00,INVALID,EXPIRED,2020-11-02 05:21:33.151432+00:00,546872,0.0,103200.0,12233,12330
95699,95682,2020-03-11 09:08:31.566599+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,15307
95699,95685,2020-03-11 09:08:45.445916+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,14860
95699,95688,2020-03-11 09:09:13.033785+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,12287
95699,95691,2020-03-11 09:09:32.387116+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,31042
95699,95696,2020-03-11 09:09:49.036804+00:00,INVALID,EXPIRED,,546872,0.0,103200.0,12233,34909
95725,95704,2020-03-11 09:16:34.908377+00:00,INVALID,EXPIRED,,546880,0.0,14400.0,12233,12306
95725,95707,2020-03-11 09:16:46.367620+00:00,INVALID,EXPIRED,,546880,0.0,14400.0,12233,12886
95725,95710,2020-03-11 09:17:02.902415+00:00,INVALID,EXPIRED,,546880,0.0,14400.0,12233,12884
95725,95713,2020-03-11 09:17:14.658917+00:00,INVALID,EXPIRED,,546880,0.0,14400.0,12233,12347
95725,95716,2020-03-11 09:17:27.596371+00:00,INVALID,EXPIRED,,546880,0.0,14400.0,12233,12877
95725,95719,2020-03-11 09:17:36.141275+00:00,INVALID,EXPIRED,,546880,0.0,14400.0,12233,12274
95725,95722,2020-03-11 09:17:48.012809+00:00,INVALID,EXPIRED,,546880,0.0,14400.0,12233,12879
95742,95729,2020-03-11 09:43:28.717310+00:00,INVALID,EXPIRED,,3387279,0.0,18000.0,12233,12272
95742,95732,2020-03-11 09:43:35.689758+00:00,INVALID,EXPIRED,,3387279,0.0,18000.0,12233,12897
95742,95736,2020-03-11 09:43:55.173839+00:00,INVALID,EXPIRED,,3387279,0.0,18000.0,12233,12270
95756,95746,2020-03-11 09:46:28.364281+00:00,INVALID,EXPIRED,,558846,0.0,34400.0,12233,12868
95756,95749,2020-03-11 09:46:39.407432+00:00,INVALID,EXPIRED,,558846,0.0,34400.0,12233,12870
