offer_id,offer_created_at,offer_valid_from,offer_valid_until,offer_state,offer_national_currency,offer_total_quantity_kg,transaction_type,seller_user_id,unit_price_nationalcurrency
101189,2020-03-23 14:42:39.072237+00:00,2020-03-23 16:00:00+00:00,2020-03-31 07:00:24.350000+00:00,COMPLETED,EUR,100000,fixed_price_offer,16628,4.75
101203,2020-03-23 14:49:26.498173+00:00,2020-03-24 07:00:00+00:00,2020-03-26 16:00:00+00:00,COMPLETED,EUR,6900,fixed_price_offer,19544,2.2
101252,2020-03-23 15:25:09.127541+00:00,2020-03-23 16:00:00+00:00,2020-03-26 16:00:00+00:00,COMPLETED,EUR,9200,fixed_price_offer,93417,2.48
101253,2020-03-23 15:25:14.703301+00:00,2020-03-24 08:00:00+00:00,2020-03-30 15:00:00+00:00,COMPLETED,EUR,17200,fixed_price_offer,19543,1.78
101260,2020-03-23 15:27:41.948909+00:00,2020-03-24 08:00:00+00:00,2020-03-30 15:00:00+00:00,COMPLETED,EUR,4000,fixed_price_offer,19543,1.77
101264,2020-03-23 15:29:17.530066+00:00,2020-03-23 16:00:00+00:00,2020-06-30 15:00:00+00:00,COMPLETED,EUR,100000,fixed_price_offer,16628,1.65
101269,2020-03-23 15:32:41.701368+00:00,2020-03-24 08:00:00+00:00,2020-03-30 15:00:00+00:00,COMPLETED,EUR,1600,fixed_price_offer,19543,1.8
101277,2020-03-23 15:35:10.733613+00:00,2020-03-24 08:00:00+00:00,2020-03-30 15:00:00+00:00,COMPLETED,EUR,2000,fixed_price_offer,19543,1.74
101285,2020-03-23 15:37:42.995745+00:00,2020-03-24 07:30:00+00:00,2020-03-24 06:50:51.528000+00:00,COMPLETED,EUR,2000,fixed_price_offer,19543,1.53
101293,2020-03-23 15:40:01.858655+00:00,2020-03-24 08:00:00+00:00,2020-03-30 15:00:00+00:00,COMPLETED,EUR,6900,fixed_price_offer,19543,1.79
101320,2020-03-23 19:56:08.978189+00:00,2020-03-24 10:00:00+00:00,2020-03-31 23:00:00+00:00,COMPLETED,USD,42240,fixed_price_offer,4271,2.669992312973485
10139,2019-08-23 09:19:35.632541+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,617000,fixed_price_offer,2776,1.8
101411,2020-03-24 02:36:20.560994+00:00,2020-03-24 02:39:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,37800,fixed_price_offer,31078,11.800089103174603
10145,2019-08-23 09:22:06.320783+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,22000,fixed_price_offer,2776,1.58
101480,2020-03-24 02:39:21.929988+00:00,2020-03-24 02:43:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,18000,fixed_price_offer,31078,11.700089377777777
10155,2019-08-23 09:24:58.798763+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,196000,fixed_price_offer,2776,1.61
101563,2020-03-24 05:29:20.606494+00:00,2020-03-24 05:33:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,17200,fixed_price_offer,31078,11.599843813953488
101636,2020-03-24 05:31:30.968622+00:00,2020-03-24 05:35:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,3440,fixed_price_offer,31078,11.800562412790697
10169,2019-08-23 09:28:01.548042+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,420000,fixed_price_offer,2776,1.4
101709,2020-03-24 05:39:19.795357+00:00,2020-03-24 05:43:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,18000,fixed_price_offer,31078,11.80002835
101799,2020-03-24 05:41:12.458502+00:00,2020-03-24 05:45:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,18000,fixed_price_offer,31078,11.80002835
10183,2019-08-23 09:31:39.880264+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,244000,fixed_price_offer,2776,1.4
101858,2020-03-24 05:44:54.051370+00:00,2020-03-24 05:46:00+00:00,2020-03-31 01:00:00+00:00,COMPLETED,CNY,36000,fixed_price_offer,31078,11.80002835
101894,2020-03-24 06:51:09.247773+00:00,2020-03-24 06:55:00+00:00,2020-04-03 02:00:00+00:00,COMPLETED,IDR,4500,fixed_price_offer,48558,99685.2912
101906,2020-03-24 07:02:00.376219+00:00,2020-03-24 07:15:00+00:00,2020-03-26 15:00:00+00:00,COMPLETED,USD,68800,fixed_price_offer,8764,4.950002861918605
101914,2020-03-24 07:08:45.397836+00:00,2020-03-24 08:00:00+00:00,2020-03-30 15:00:00+00:00,COMPLETED,EUR,2000,fixed_price_offer,19543,2.53
101924,2020-03-24 07:14:43.113477+00:00,2020-03-24 07:30:00+00:00,2020-03-26 15:00:00+00:00,COMPLETED,EUR,5400,fixed_price_offer,8764,1.88
10193,2019-08-23 09:33:31.098926+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,144000,fixed_price_offer,2776,1.55
101934,2020-03-24 07:17:20.197157+00:00,2020-03-24 07:30:00+00:00,2020-03-26 15:00:00+00:00,COMPLETED,EUR,10320,fixed_price_offer,8764,1.7800387596899225
101943,2020-03-24 07:20:06.025043+00:00,2020-03-24 07:30:00+00:00,2020-03-26 15:00:00+00:00,COMPLETED,EUR,2580,fixed_price_offer,8764,4.3
101973,2020-03-24 07:40:03.108157+00:00,2020-03-24 08:00:00+00:00,2020-03-26 15:00:00+00:00,COMPLETED,EUR,50000,fixed_price_offer,8764,1.68
10199,2019-08-23 09:35:18.893605+00:00,2019-08-23 10:35:00+00:00,2019-09-04 20:00:00+00:00,COMPLETED,EUR,22000,fixed_price_offer,2776,1.93
101991,2020-03-24 07:56:24.062644+00:00,2020-03-24 08:00:00+00:00,2020-03-24 08:03:48.933000+00:00,COMPLETED,EUR,220000,fixed_price_offer,8764,1.68
